#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,New
Rickettsia bellii RML369-C,Bacteria;Proteobacteria;Alphaproteobacteria,RML369-C,SAMN02603144,PRJNA13996,GCA_000012385.1,Complete,1.52208,31.6,chromosome:NC_007940.1/CP000087.1,,1,1400,2006-04-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/385/GCA_000012385.1_ASM1238v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/385/GCF_000012385.1_ASM1238v1,x
Rickettsia rickettsii str. Iowa,Bacteria;Proteobacteria;Alphaproteobacteria,Iowa,SAMN02603768,PRJNA19943,GCA_000017445.3,Complete,1.2682,32.4,chromosome:NC_010263.3/CP000766.3,,1,1252,2008-01-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/445/GCA_000017445.3_ASM1744v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/445/GCF_000017445.4_ASM1744v3,x
Methylorubrum extorquens,Bacteria;Proteobacteria;Alphaproteobacteria,TK 0001,SAMEA104358467,PRJEB23178,GCA_900234795.1,Complete,5.71551,68.3,chromosome TK0001:NZ_LT962688.1/LT962688.1,,1,4848,2017-12-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/234/795/GCA_900234795.1_TK0001_PRJEB23178_v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/234/795/GCF_900234795.1_TK0001_PRJEB23178_v1,x
Methylobacterium radiotolerans JCM 2831,Bacteria;Proteobacteria;Alphaproteobacteria,JCM 2831,SAMN00000277,PRJNA18817,GCA_000019725.1,Complete,6.89911,71.0375,chromosome:NC_010505.1/CP001001.1; plasmid pMRAD01:NC_010510.1/CP001002.1; plasmid pMRAD02:NC_010509.1/CP001003.1; plasmid pMRAD03:NC_010514.1/CP001004.1; plasmid pMRAD04:NC_010517.1/CP001005.1; plasmid pMRAD05:NC_010518.1/CP001006.1; plasmid pMRAD06:NC_010502.1/CP001007.1; plasmid pMRAD07:NC_010504.1/CP001008.1; plasmid pMRAD08:NC_010507.1/CP001009.1,,9,6386,2008-03-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/725/GCA_000019725.1_ASM1972v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/725/GCF_000019725.1_ASM1972v1,x
Orientia tsutsugamushi str. Boryong,Bacteria;Proteobacteria;Alphaproteobacteria,Boryong,SAMEA3138266,PRJNA16180,GCA_000063545.1,Complete,2.12705,30.5,chromosome:NC_009488.1/AM494475.1,,1,1348,2007-05-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/063/545/GCA_000063545.1_ASM6354v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/063/545/GCF_000063545.1_ASM6354v1,x
Phaeobacter gallaeciensis DSM 26640,Bacteria;Proteobacteria;Alphaproteobacteria,DSM 26640,SAMN02641497,PRJNA227502,GCA_000511385.1,Complete,4.54016,59.4193,chromosome:NC_023137.1/CP006966.1; plasmid pGal_A255:NC_023138.1/CP006967.1; plasmid pGal_B134:NC_023148.1/CP006968.1; plasmid pGal_C110:NC_023139.1/CP006969.1; plasmid pGal_D78:NC_023140.1/CP006970.1; plasmid pGal_E78:NC_023141.1/CP006971.1; plasmid pGal_F69:NC_023142.1/CP006972.1; plasmid pGal_G40:NC_023143.1/CP006973.1,,8,4281,2013-12-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/511/385/GCA_000511385.1_ASM51138v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/511/385/GCF_000511385.1_ASM51138v1,x
Octadecabacter antarcticus 307,Bacteria;Proteobacteria;Alphaproteobacteria,307,SAMN02603621,PRJNA19333,GCA_000155675.2,Complete,4.87548,54.5768,chromosome:NC_020911.1/CP003740.1; plasmid pOA307_63:NC_020907.1/CP003741.1,,2,4293,2013-04-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/675/GCA_000155675.2_ASM15567v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/155/675/GCF_000155675.2_ASM15567v2,x
Ochrobactrum anthropi ATCC 49188,Bacteria;Proteobacteria;Alphaproteobacteria,ATCC 49188,SAMN02598421,PRJNA19485,GCA_000017405.1,Complete,5.20578,56.1453,chromosome 1:NC_009667.1/CP000758.1; chromosome 2:NC_009668.1/CP000759.1; plasmid pOANT01:NC_009669.1/CP000760.1; plasmid pOANT02:NC_009670.1/CP000761.1; plasmid pOANT03:NC_009671.1/CP000762.1; plasmid pOANT04:NC_009672.1/CP000763.1,,6,4783,2007-07-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/405/GCA_000017405.1_ASM1740v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/405/GCF_000017405.1_ASM1740v1,x
Rickettsia prowazekii str. Breinl,Bacteria;Proteobacteria;Alphaproteobacteria,Breinl,SAMN01983876,PRJNA188530,GCA_000367405.1,Complete,1.1093,29,chromosome:NC_020993.1/CP004889.1,,1,836,2013-04-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/367/405/GCA_000367405.1_ASM36740v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/367/405/GCF_000367405.1_ASM36740v1,x
Rhizobium leguminosarum,Bacteria;Proteobacteria;Alphaproteobacteria,Vaf-108,SAMN05990783,PRJNA316801,GCA_001890425.1,Complete,8.44734,60.4985,chromosome:NZ_CP018228.1/CP018228.1; plasmid unnamed1:NZ_CP018229.1/CP018229.1; plasmid unnamed2:NZ_CP018230.1/CP018230.1; plasmid unnamed3:NZ_CP018231.1/CP018231.1; plasmid unnamed4:NZ_CP018232.1/CP018232.1; plasmid unnamed5:NZ_CP018233.1/CP018233.1; plasmid unnamed6:NZ_CP018234.1/CP018234.1; plasmid unnamed7:NZ_CP018235.1/CP018235.1; plasmid unnamed8:NZ_CP018236.1/CP018236.1,,9,7611,2016-12-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/890/425/GCA_001890425.1_ASM189042v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/890/425/GCF_001890425.1_ASM189042v1,x
Brucella canis ATCC 23365,Bacteria;Proteobacteria;Alphaproteobacteria,,SAMN02604295,PRJNA20243,GCA_000018525.1,Complete,3.31277,57.2364,chromosome I:NC_010103.1/CP000872.1; chromosome II:NC_010104.1/CP000873.1,,2,3158,2007-11-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/525/GCA_000018525.1_ASM1852v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/525/GCF_000018525.1_ASM1852v1,x
Brucella suis 1330,Bacteria;Proteobacteria;Alphaproteobacteria,1330,SAMN02603682,PRJNA320,GCA_000007505.1,Complete,3.31517,57.2364,chromosome I:NC_004310.3/AE014291.4; chromosome II:NC_004311.2/AE014292.2,,2,3000,2002-09-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/505/GCA_000007505.1_ASM750v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/505/GCF_000007505.1_ASM750v1,x
Bradyrhizobium japonicum USDA 6,Bacteria;Proteobacteria;Alphaproteobacteria,USDA 6,SAMD00060992,PRJDA67463,GCA_000284375.1,Complete,9.20738,63.7,chromosome:NC_017249.1/AP012206.1,,1,8258,2011-10-31T23:11:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/375/GCA_000284375.1_ASM28437v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/375/GCF_000284375.1_ASM28437v1,x
Gluconacetobacter diazotrophicus PA1 5,Bacteria;Proteobacteria;Alphaproteobacteria,PAl 5,SAMN02598444,PRJNA21071,GCA_000021325.1,Complete,3.91495,66.3446,chromosome:NC_011365.1/CP001189.1; plasmid pGDIA01:NC_011367.1/CP001190.1,,2,3521,2008-10-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/325/GCA_000021325.1_ASM2132v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/325/GCF_000021325.1_ASM2132v1,x
Rhizobium etli CFN 42,Bacteria;Proteobacteria;Alphaproteobacteria,CFN 42,SAMN02603106,PRJNA13932,GCA_000092045.1,Complete,6.53023,61.0458,chromosome:NC_007761.1/CP000133.1; plasmid p42a:NC_007762.1/CP000134.1; plasmid p42b:NC_007763.1/CP000135.1; plasmid p42c:NC_007764.1/CP000136.1; plasmid p42e:NC_007765.1/CP000137.1; plasmid p42f:NC_007766.1/CP000138.1; plasmid symbiotic plasmid p42d:NC_004041.2/U80928.5,,7,5927,2006-02-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/045/GCA_000092045.1_ASM9204v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/045/GCF_000092045.1_ASM9204v1,x
Bartonella tribocorum CIP 105476,Bacteria;Proteobacteria;Alphaproteobacteria,506,SAMEA3138339,PRJNA28109,GCA_000196435.1,Complete,2.6424,38.8655,chromosome:NC_010161.1/AM260525.1; plasmid pBT01:NC_010160.1/AM260524.1,,2,2108,2007-11-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/435/GCA_000196435.1_ASM19643v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/435/GCF_000196435.1_ASM19643v1,x
Zymomonas mobilis subsp. mobilis ATCC 10988,Bacteria;Proteobacteria;Alphaproteobacteria,ATCC 10988,SAMN02232066,PRJNA30987,GCA_000175255.2,Complete,2.14346,46.0424,chromosome:NC_017262.1/CP002850.1; plasmid pZMOB01:NC_017180.1/CP002851.1; plasmid pZMOB02:NC_017183.1/CP002852.1; plasmid pZMOB03:NC_017181.1/CP002853.1; plasmid pZMOB04:NC_017184.1/CP002854.1; plasmid pZMOB05:NC_017182.1/CP002855.1; plasmid pZMOBP6:NC_017185.1/CP002856.1,,7,1785,2011-06-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/175/255/GCA_000175255.2_ASM17525v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/175/255/GCF_000175255.2_ASM17525v2,x
Acetobacter pasteurianus IFO 3283-01,Bacteria;Proteobacteria;Alphaproteobacteria,IFO 3283 substr. IFO 3283-01,SAMD00060943,PRJDA31129,GCA_000010825.1,Complete,3.34025,53.0701,chromosome:NC_013209.1/AP011121.1; plasmid pAPA01-011:NC_013210.1/AP011122.1; plasmid pAPA01-020:NC_013211.1/AP011123.1; plasmid pAPA01-030:NC_013212.1/AP011124.1; plasmid pAPA01-040:NC_013213.1/AP011125.1; plasmid pAPA01-050:NC_013214.1/AP011126.1; plasmid pAPA01-060:NC_013215.1/AP011127.1,,7,2927,2009-08-26T23:12:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/825/GCA_000010825.1_ASM1082v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/825/GCF_000010825.1_ASM1082v1,x
Brucella melitensis bv. 1 str. 16M,Bacteria;Proteobacteria;Alphaproteobacteria,16M,SAMN02603416,PRJNA180,GCA_000007125.1,Complete,3.29493,57.2357,chromosome I:NC_003317.1/AE008917.1; chromosome II:NC_003318.1/AE008918.1,,2,2901,2001-11-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/125/GCA_000007125.1_ASM712v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/125/GCF_000007125.1_ASM712v1,x
Sinorhizobium meliloti RU11_001,Bacteria;Proteobacteria;Alphaproteobacteria,RU11_001,SAMEA3146337,PRJEB4559,GCA_001050915.2,Complete,7.69291,61.8324,chromosome:NZ_CP021219.1/CP021219.1; plasmid pSmeRU11a:NZ_CP021213.1/CP021213.1; plasmid pSmeRU11b:NZ_CP021214.1/CP021214.1; plasmid pSmeRU11c:NZ_CP021215.1/CP021215.1; plasmid pSmeRU11d:NZ_CP021216.1/CP021216.1; plasmid pSymA:NZ_CP021217.1/CP021217.1; plasmid pSymB:NZ_CP021218.1/CP021218.1,,7,6890,2017-06-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/050/915/GCA_001050915.2_ASM105091v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/050/915/GCF_001050915.2_ASM105091v2,x
Rickettsia conorii str. Malish 7,Bacteria;Proteobacteria;Alphaproteobacteria,Malish 7,SAMN02603141,PRJNA42,GCA_000007025.1,Complete,1.26876,32.4,chromosome:NC_003103.1/AE006914.1,,1,1269,2001-10-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/025/GCA_000007025.1_ASM702v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/025/GCF_000007025.1_ASM702v1,x
Rhodospirillum rubrum ATCC 11170,Bacteria;Proteobacteria;Alphaproteobacteria,ATCC 11170,SAMN02598538,PRJNA58,GCA_000013085.1,Complete,4.40656,65.3317,chromosome:NC_007643.1/CP000230.1; plasmid unnamed:NC_007641.1/CP000231.1,,2,3860,2005-12-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/085/GCA_000013085.1_ASM1308v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/085/GCF_000013085.1_ASM1308v1,x
Novosphingobium aromaticivorans DSM 12444,Bacteria;Proteobacteria;Alphaproteobacteria,DSM 12444,SAMN02598432,PRJNA204,GCA_000013325.1,Complete,4.23331,65.1542,chromosome:NC_007794.1/CP000248.1; plasmid pNL1:NC_009426.1/CP000676.1; plasmid pNL2:NC_009427.1/CP000677.1,,3,3944,2006-02-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/325/GCA_000013325.1_ASM1332v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/325/GCF_000013325.1_ASM1332v1,x
Wolbachia endosymbiont of Drosophila melanogaster,Bacteria;Proteobacteria;Alphaproteobacteria,wMel,SAMN02604000,PRJNA272,GCA_000008025.1,Complete,1.26778,35.2,chromosome:NC_002978.6/AE017196.1,,1,1143,2002-01-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/025/GCA_000008025.1_ASM802v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/025/GCF_000008025.1_ASM802v1,x
Ruegeria pomeroyi DSS-3,Bacteria;Proteobacteria;Alphaproteobacteria,DSS-3,SAMN02604003,PRJNA281,GCA_000011965.2,Complete,4.60105,64.0504,chromosome:NC_003911.12/CP000031.2; plasmid megaplasmid:NC_006569.1/CP000032.1,,2,4332,2002-05-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/965/GCA_000011965.2_ASM1196v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/965/GCF_000011965.2_ASM1196v2,x
Anaplasma phagocytophilum str. HZ,Bacteria;Proteobacteria;Alphaproteobacteria,HZ,SAMN02604015,PRJNA336,GCA_000013125.1,Complete,1.47128,41.6,chromosome:NC_007797.1/CP000235.1,,1,994,2006-02-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/125/GCA_000013125.1_ASM1312v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/125/GCF_000013125.1_ASM1312v1,x
Neorickettsia sennetsu str. Miyayama,Bacteria;Proteobacteria;Alphaproteobacteria,Miyayama,SAMN02604016,PRJNA357,GCA_000013165.1,Complete,0.859006,41.1,chromosome:NC_007798.1/CP000237.1,,1,743,2006-02-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/165/GCA_000013165.1_ASM1316v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/165/GCF_000013165.1_ASM1316v1,x
Bartonella quintana str. Toulouse,Bacteria;Proteobacteria;Alphaproteobacteria,Toulouse,SAMEA3138248,PRJNA44,GCA_000046685.1,Complete,1.58138,38.8,chromosome:NC_005955.1/BX897700.1,,1,1182,2004-06-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/046/685/GCA_000046685.1_ASM4668v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/046/685/GCF_000046685.1_ASM4668v1,x
Rhodobacter capsulatus SB 1003,Bacteria;Proteobacteria;Alphaproteobacteria,SB 1003,SAMN02604080,PRJNA55,GCA_000021865.1,Complete,3.87192,66.5966,chromosome:NC_014034.1/CP001312.1; plasmid pRCB133:NC_014035.1/CP001313.1,,2,3531,2010-04-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/865/GCA_000021865.1_ASM2186v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/865/GCF_000021865.1_ASM2186v1,x
Bartonella henselae str. Houston-1,Bacteria;Proteobacteria;Alphaproteobacteria,Houston-1,SAMEA3138249,PRJNA196,GCA_000046705.1,Complete,1.93105,38.2,chromosome:NC_005956.1/BX897699.1,,1,1448,2004-06-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/046/705/GCA_000046705.1_ASM4670v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/046/705/GCF_000046705.1_ASM4670v1,x
Rickettsia sibirica 246,Bacteria;Proteobacteria;Alphaproteobacteria,246,SAMN02393728,PRJNA1414,GCA_000166935.1, Chromosome,1.25002,32.5,chromosome:NZ_AABW01000001.1/AABW01000001.1,AABW01,1,1257,2003-02-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/166/935/GCA_000166935.1_ASM16693v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/166/935/GCF_000166935.1_ASM16693v1,x
Ehrlichia canis str. Jake,Bacteria;Proteobacteria;Alphaproteobacteria,Jake,SAMN02598261,PRJNA10694,GCA_000012565.1,Complete,1.31503,29,chromosome:NC_007354.1/CP000107.1,,1,928,2005-08-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/565/GCA_000012565.1_ASM1256v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/565/GCF_000012565.1_ASM1256v1,x
Brucella ovis ATCC 25840,Bacteria;Proteobacteria;Alphaproteobacteria,ATCC 25840,SAMN02604024,PRJNA12514,GCA_000016845.1,Complete,3.27559,57.2,chromosome I:NC_009505.1/CP000708.1; chromosome II:NC_009504.1/CP000709.1,,2,2850,2007-05-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/845/GCA_000016845.1_ASM1684v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/845/GCF_000016845.1_ASM1684v1,x
Wolbachia endosymbiont of Culex quinquefasciatus Pel,Bacteria;Proteobacteria;Alphaproteobacteria,wPip,SAMEA1705930,PRJNA30313,GCA_000073005.1, Chromosome,1.48246,34.2,chromosome:NC_010981.1/AM999887.1,,1,1258,2008-06-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/073/005/GCA_000073005.1_ASM7300v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/073/005/GCF_000073005.1_ASM7300v1,x
Rickettsia canadensis str. McKiel,Bacteria;Proteobacteria;Alphaproteobacteria,McKiel,SAMN02604083,PRJNA12952,GCA_000014345.1,Complete,1.15977,31.1,chromosome:NC_009879.1/CP000409.1,,1,909,2007-10-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/345/GCA_000014345.1_ASM1434v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/345/GCF_000014345.1_ASM1434v1,x
Rickettsia akari str. Hartford,Bacteria;Proteobacteria;Alphaproteobacteria,Hartford,SAMN02604084,PRJNA12953,GCA_000018205.1,Complete,1.23106,32.3,chromosome:NC_009881.1/CP000847.1,,1,1013,2007-10-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/205/GCA_000018205.1_ASM1820v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/205/GCF_000018205.1_ASM1820v1,x
Gluconobacter oxydans H24,Bacteria;Proteobacteria;Alphaproteobacteria,H24,SAMN02603014,PRJNA173388,GCA_000311765.1,Complete,3.81623,56.1944,chromosome:NC_019396.1/CP003926.1; plasmid unnamed:NC_019397.1/CP003927.1,,2,3337,2012-11-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/311/765/GCA_000311765.1_ASM31176v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/311/765/GCF_000311765.1_ASM31176v1,x
Wolbachia endosymbiont of Drosophila simulans wNo,Bacteria;Proteobacteria;Alphaproteobacteria,wNo,SAMN02604272,PRJNA176302,GCA_000376585.1,Complete,1.30182,34,chromosome:NC_021084.1/CP003883.1,,1,1071,2013-04-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/376/585/GCA_000376585.1_ASM37658v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/376/585/GCF_000376585.1_ASM37658v1,x
