#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,x
Legionella pneumophila subsp. pascullei,Bacteria;Proteobacteria;Gammaproteobacteria,NCTC12273,SAMEA44537668,PRJEB6403,GCA_900637585.1,Complete,3.45892,38.2,chromosome 1:NZ_LR134380.1/LR134380.1,,1,3002,2018-12-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/585/GCA_900637585.1_52067_F01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/585/GCF_900637585.1_52067_F01,x
Shewanella baltica OS678,Bacteria;Proteobacteria;Gammaproteobacteria,OS678,SAMN00016780,PRJNA47019,GCA_000178875.2,Complete,5.36877,46.276,chromosome:NC_016901.1/CP002383.1; plasmid pSBAL67801:NC_016905.1/CP002384.1,,2,4437,2010-12-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/178/875/GCA_000178875.2_ASM17887v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/178/875/GCF_000178875.2_ASM17887v2,x
Shewanella putrefaciens CN-32,Bacteria;Proteobacteria;Gammaproteobacteria,CN-32,SAMN00623063,PRJNA13393,GCA_000016585.1,Complete,4.65922,44.5,chromosome:NC_009438.1/CP000681.1,,1,3944,2007-04-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/585/GCA_000016585.1_ASM1658v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/585/GCF_000016585.1_ASM1658v1,x
Nitrosococcus oceani ATCC 19707,Bacteria;Proteobacteria;Gammaproteobacteria,ATCC 19707,SAMN02598329,PRJNA13993,GCA_000012805.1,Complete,3.52211,50.3241,chromosome:NC_007484.1/CP000127.1; plasmid A:NC_007483.1/CP000126.1,,2,3140,2005-10-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/805/GCA_000012805.1_ASM1280v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/805/GCF_000012805.1_ASM1280v1,x
Shigella boydii,Bacteria;Proteobacteria;Gammaproteobacteria,ATCC 8700,SAMN08330244,PRJNA218110,GCA_002946735.1,Complete,4.52532,51.1161,chromosome:NZ_CP026731.1/CP026731.1; plasmid unnamed1:NZ_CP026732.1/CP026732.1; plasmid unnamed2:NZ_CP026733.1/CP026733.1,,3,3427,2018-02-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/946/735/GCA_002946735.1_ASM294673v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/946/735/GCF_002946735.1_ASM294673v1,x
Vibrio cholerae,Bacteria;Proteobacteria;Gammaproteobacteria,10432-62,SAMN03248306,PRJNA188527,GCA_000969265.1,Complete,4.07746,47.7,chromosome:NZ_CP010812.1/CP010812.1,,1,3546,2015-04-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/969/265/GCA_000969265.1_ASM96926v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/969/265/GCF_000969265.1_ASM96926v1,x
Yersinia pseudotuberculosis,Bacteria;Proteobacteria;Gammaproteobacteria,NCTC10275,SAMEA4442458,PRJEB6403,GCA_900637475.1,Complete,4.6102,47.5,chromosome 1:NZ_LR134373.1/LR134373.1,,1,3808,2018-12-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/475/GCA_900637475.1_51108_B01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/475/GCF_900637475.1_51108_B01,x
Xanthomonas citri subsp. citri Aw12879,Bacteria;Proteobacteria;Gammaproteobacteria,Aw12879,SAMN02603165,PRJNA81931,GCA_000349225.1,Complete,5.39869,64.6642,chromosome:NC_020815.1/CP003778.1; plasmid pXcaw19:NC_020816.1/CP003779.1; plasmid pXcaw58:NC_020817.1/CP003780.1,,3,4365,2013-03-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/349/225/GCA_000349225.1_ASM34922v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/349/225/GCF_000349225.1_ASM34922v1,x
Xanthomonas oryzae pv. oryzae PXO99A,Bacteria;Proteobacteria;Gammaproteobacteria,PXO99A,SAMN02603061,PRJNA28127,GCA_000019585.2,Complete,5.23855,63.6,chromosome:NC_010717.2/CP000967.2,,1,3952,2008-05-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/585/GCA_000019585.2_ASM1958v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/585/GCF_000019585.2_ASM1958v2,x
Sodalis glossinidius str. 'morsitans',Bacteria;Proteobacteria;Gammaproteobacteria,morsitans,SAMD00061079,PRJNA16309,GCA_000010085.1,Complete,4.2925,54.5066,chromosome:NC_007712.1/AP008232.1; plasmid pSG1:NC_007713.1/AP008233.1; plasmid pSG2:NC_007714.1/AP008234.1; plasmid pSG3:NC_007715.1/AP008235.1,,4,3347,2006-01-10T23:41:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/085/GCA_000010085.1_ASM1008v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/085/GCF_000010085.1_ASM1008v1,x
Aeromonas salmonicida subsp. salmonicida A449,Bacteria;Proteobacteria;Gammaproteobacteria,A449,SAMN02603664,PRJNA16723,GCA_000196395.1,Complete,5.04054,58.1696,chromosome:NC_009348.1/CP000644.1; plasmid 4:NC_009349.1/CP000645.1; plasmid 5:NC_009350.1/CP000646.1; plasmid pAsa1:NC_004923.1/AY301063.1; plasmid pAsa2:NC_004925.1/AY301064.1; plasmid pAsa3:NC_004924.1/AY301065.1,,6,4353,2007-04-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/395/GCA_000196395.1_ASM19639v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/395/GCF_000196395.1_ASM19639v1,x
Coxiella burnetii Dugway 5J108-111,Bacteria;Proteobacteria;Gammaproteobacteria,Dugway 5J108-111,SAMN02603436,PRJNA16721,GCA_000017105.1,Complete,2.21294,42.3363,chromosome:NC_009727.1/CP000733.1; plasmid pQpDG:NC_009726.1/CP000735.1,,2,2039,2007-08-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/105/GCA_000017105.1_ASM1710v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/105/GCF_000017105.1_ASM1710v1,x
Photobacterium damselae subsp. damselae,Bacteria;Proteobacteria;Gammaproteobacteria,KC-Na-1,SAMN06909323,PRJNA385756,GCA_002142615.1,Complete,4.54459,40.8845,chromosome I:NZ_CP021151.1/CP021151.1; chromosome II:NZ_CP021152.1/CP021152.1; plasmid pPDD-Na-1-1:NZ_CP021153.1/CP021153.1; plasmid pPDD-Na-1-2:NZ_CP021154.1/CP021154.1; plasmid pPDD-Na-1-3:NZ_CP021155.1/CP021155.1; plasmid pPDD-Na-1-4:NZ_CP021156.1/CP021156.1,,6,3797,2017-05-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/142/615/GCA_002142615.1_ASM214261v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/142/615/GCF_002142615.1_ASM214261v1,x
Vibrio harveyi,Bacteria;Proteobacteria;Gammaproteobacteria,FDAARGOS_107,SAMN03996323,PRJNA231221,GCA_001558435.2,Complete,6.03893,44.9,chromosome 1:NZ_CP014038.2/CP014038.2; chromosome 2:NZ_CP014039.2/CP014039.2,,2,5351,2016-02-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/558/435/GCA_001558435.2_ASM155843v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/558/435/GCF_001558435.2_ASM155843v2,x
Vibrio parahaemolyticus,Bacteria;Proteobacteria;Gammaproteobacteria,FDAARGOS_115,SAMN03996250,PRJNA231221,GCA_001558495.2,Complete,5.15246,45.3276,chromosome 1:NZ_CP014046.2/CP014046.2; chromosome 2:NZ_CP014047.2/CP014047.2,,2,4520,2016-02-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/558/495/GCA_001558495.2_ASM155849v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/558/495/GCF_001558495.2_ASM155849v2,x
Aliivibrio fischeri ES114,Bacteria;Proteobacteria;Gammaproteobacteria,ES114,SAMN02604303,PRJNA12986,GCA_000011805.1,Complete,4.27372,38.371,chromosome I:NC_006840.2/CP000020.2; chromosome II:NC_006841.2/CP000021.2; plasmid pES100:NC_006842.1/CP000022.1,,3,3731,2005-02-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/805/GCA_000011805.1_ASM1180v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/805/GCF_000011805.1_ASM1180v1,x
Chromohalobacter salexigens DSM 3043,Bacteria;Proteobacteria;Gammaproteobacteria,DSM 3043,SAMN02598275,PRJNA12636,GCA_000055785.1,Complete,3.69665,63.9,chromosome:NC_007963.1/CP000285.1,,1,3287,2006-04-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/055/785/GCA_000055785.1_ASM5578v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/055/785/GCF_000055785.1_ASM5578v1,x
Yersinia frederiksenii Y225,Bacteria;Proteobacteria;Gammaproteobacteria,Y225,SAMN03010446,PRJNA236482,GCA_000834215.1,Complete,4.55089,47.282,chromosome:NZ_CP009364.1/CP009364.1; plasmid unnsmrf:NZ_CP009363.1/CP009363.1,,2,3945,2015-02-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/215/GCA_000834215.1_ASM83421v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/834/215/GCF_000834215.1_ASM83421v1,x
Yersinia kristensenii,Bacteria;Proteobacteria;Gammaproteobacteria,Y231,SAMN03202900,PRJNA240099,GCA_000834865.1,Complete,4.49657,47.4,chromosome:NZ_CP009997.1/CP009997.1,,1,3884,2015-02-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/865/GCA_000834865.1_ASM83486v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/834/865/GCF_000834865.1_ASM83486v1,x
Alteromonas macleodii ATCC 27126,Bacteria;Proteobacteria;Gammaproteobacteria,ATCC 27126,SAMN02603229,PRJNA29793,GCA_000172635.2,Complete,4.65385,44.7,chromosome:NC_018632.1/CP003841.1,,1,3783,2012-09-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/172/635/GCA_000172635.2_ASM17263v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/172/635/GCF_000172635.2_ASM17263v2,x
Stenotrophomonas maltophilia K279a,Bacteria;Proteobacteria;Gammaproteobacteria,K279a,SAMEA1705934,PRJNA30351,GCA_000072485.1,Complete,4.85113,66.3,chromosome:NC_010943.1/AM743169.1,,1,4332,2008-04-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/072/485/GCA_000072485.1_ASM7248v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/072/485/GCF_000072485.1_ASM7248v1,x
Glaesserella parasuis SH0165,Bacteria;Proteobacteria;Gammaproteobacteria,SH0165,SAMN02603313,PRJNA31099,GCA_000021885.1,Complete,2.26916,40,chromosome:NC_011852.1/CP001321.1,,1,2026,2009-01-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/885/GCA_000021885.1_ASM2188v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/885/GCF_000021885.1_ASM2188v1,x
Francisella tularensis subsp. novicida U112,Bacteria;Proteobacteria;Gammaproteobacteria,U112,SAMN03107387,PRJNA236529,GCA_000833375.1,Complete,1.91059,32.5,chromosome:NZ_CP009633.1/CP009633.1,,1,1752,2015-02-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/833/375/GCA_000833375.1_ASM83337v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/833/375/GCF_000833375.1_ASM83337v1,x
Pasteurella multocida,Bacteria;Proteobacteria;Gammaproteobacteria,ATCC 43137,SAMN02904551,PRJNA244572,GCA_000754275.1,Complete,2.27184,40.4,chromosome:NZ_CP008918.1/CP008918.1,,1,2030,2014-09-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/754/275/GCA_000754275.1_ASM75427v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/754/275/GCF_000754275.1_ASM75427v1,x
Francisella philomiragia subsp. philomiragia ATCC 25015,Bacteria;Proteobacteria;Gammaproteobacteria,O#319L,SAMN03218150,PRJNA239335,GCA_000833455.1,Complete,2.0174,32.6,chromosome:NZ_CP010019.1/CP010019.1,,1,1817,2015-02-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/833/455/GCA_000833455.1_ASM83345v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/833/455/GCF_000833455.1_ASM83345v1,x
Vibrio splendidus,Bacteria;Proteobacteria;Gammaproteobacteria,BST398,SAMN09659035,PRJNA481137,GCA_003345295.1,Complete,5.50839,44.1197,chromosome 1:NZ_CP031055.1/CP031055.1; chromosome 2:NZ_CP031056.1/CP031056.1,,2,4582,2018-07-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/345/295/GCA_003345295.1_ASM334529v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/345/295/GCF_003345295.1_ASM334529v1,x
Dickeya dadantii,Bacteria;Proteobacteria;Gammaproteobacteria,DSM 18020,SAMN07653240,PRJNA407418,GCA_003049785.1,Complete,4.99754,56.4,chromosome:NZ_CP023467.1/CP023467.1,,1,4254,2018-04-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/049/785/GCA_003049785.1_ASM304978v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/049/785/GCF_003049785.1_ASM304978v1,x
Providencia stuartii MRSN 2154,Bacteria;Proteobacteria;Gammaproteobacteria,MRSN 2154,SAMN02604304,PRJNA88059,GCA_000259175.1,Complete,4.40211,41.3,chromosome:NC_017731.1/CP003488.1,,1,3836,2012-04-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/259/175/GCA_000259175.1_ASM25917v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/259/175/GCF_000259175.1_ASM25917v1,x
Azotobacter vinelandii DJ,Bacteria;Proteobacteria;Gammaproteobacteria,DJ_ATCC BAA-1303,SAMN02604349,PRJNA16,GCA_000021045.1,Complete,5.36532,65.7,chromosome:NC_012560.1/CP001157.1,,1,4811,2009-04-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/045/GCA_000021045.1_ASM2104v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/045/GCF_000021045.1_ASM2104v1,x
Methylococcus capsulatus str. Bath,Bacteria;Proteobacteria;Gammaproteobacteria,Bath,SAMN02603968,PRJNA21,GCA_000008325.1,Complete,3.30456,63.6,chromosome:NC_002977.6/AE017282.2,,1,2950,2001-06-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/325/GCA_000008325.1_ASM832v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/325/GCF_000008325.1_ASM832v1,x
Haemophilus ducreyi 35000HP,Bacteria;Proteobacteria;Gammaproteobacteria,35000HP,SAMN02604087,PRJNA38,GCA_000007945.1,Complete,1.69895,38.2,chromosome:NC_002940.2/AE017143.1,,1,1509,2001-10-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/945/GCA_000007945.1_ASM794v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/945/GCF_000007945.1_ASM794v1,x
Dichelobacter nodosus VCS1703A,Bacteria;Proteobacteria;Gammaproteobacteria,VCS1703A,SAMN02603972,PRJNA50,GCA_000015345.1,Complete,1.38935,44.4,chromosome:NC_009446.1/CP000513.1,,1,1276,2007-05-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/345/GCA_000015345.1_ASM1534v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/345/GCF_000015345.1_ASM1534v1,x
Yersinia enterocolitica subsp. palearctica Y11,Bacteria;Proteobacteria;Gammaproteobacteria,Y11,SAMEA2271938,PRJEA60483,GCA_000253175.1,Complete,4.62588,46.953,chromosome:NC_017564.1/FR729477.2; plasmid pYV03:NC_017565.1/FR745874.1,,2,3940,2011-01-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/253/175/GCA_000253175.1_ASM25317v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/253/175/GCF_000253175.1_ASM25317v1,x
Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis,Bacteria;Proteobacteria;Gammaproteobacteria,,SAMD00061100,PRJNA274,GCA_000008885.1,Complete,0.703004,22.4962,chromosome:NC_004344.2/BA000021.3; plasmid pWb1:NC_003425.1/AB063523.1,,2,636,2002-10-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/885/GCA_000008885.1_ASM888v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/885/GCF_000008885.1_ASM888v1,x
Colwellia psychrerythraea 34H,Bacteria;Proteobacteria;Gammaproteobacteria,34H_BAA-681,SAMN02604001,PRJNA275,GCA_000012325.1,Complete,5.37318,38,chromosome:NC_003910.7/CP000083.1,,1,4417,2002-05-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/325/GCA_000012325.1_ASM1232v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/325/GCF_000012325.1_ASM1232v1,x
Saccharophagus degradans 2-40,Bacteria;Proteobacteria;Gammaproteobacteria,2-40,SAMN02598483,PRJNA316,GCA_000013665.1,Complete,5.05753,45.8,chromosome:NC_007912.1/CP000282.1,,1,4035,2006-03-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/665/GCA_000013665.1_ASM1366v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/665/GCF_000013665.1_ASM1366v1,x
Shewanella oneidensis MR-1,Bacteria;Proteobacteria;Gammaproteobacteria,MR-1,SAMN02604014,PRJNA335,GCA_000146165.2,Complete,5.13142,45.9276,chromosome:NC_004347.2/AE014299.2; plasmid megaplasmid:NC_004349.1/AE014300.1,,2,4256,2002-09-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/165/GCA_000146165.2_ASM14616v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/165/GCF_000146165.2_ASM14616v2,x
Pectobacterium atrosepticum,Bacteria;Proteobacteria;Gammaproteobacteria,JG10-08,SAMN02797737,PRJNA247436,GCA_000696465.1,Complete,5.00493,51.1,chromosome:NZ_CP007744.1/CP007744.1,,1,4253,2014-05-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/696/465/GCA_000696465.1_ASM69646v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/696/465/GCF_000696465.1_ASM69646v1,x
Salmonella bongori NCTC 12419,Bacteria;Proteobacteria;Gammaproteobacteria,NCTC 12419,SAMEA3138409,PRJNA351,GCA_000252995.1,Complete,4.46011,51.3,chromosome:NC_015761.1/FR877557.1,,1,3967,2011-07-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/252/995/GCA_000252995.1_ASM25299v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/252/995/GCF_000252995.1_ASM25299v1,x
