#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,x
Campylobacter lari RM2100,Bacteria;Proteobacteria;delta/epsilon subdivisions,RM2100 ATCC BAA-1060D,SAMN02604025,PRJNA12517,GCA_000019205.1,Complete,1.57166,29.6177,chromosome:NC_012039.1/CP000932.1; plasmid megaplasmid pCL2100:NC_012040.1/CP000933.1,,2,1536,2009-02-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/205/GCA_000019205.1_ASM1920v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/205/GCF_000019205.1_ASM1920v1,x
Desulfotalea psychrophila LSv54,Bacteria;Proteobacteria;delta/epsilon subdivisions,LSv54,SAMEA3138217,PRJNA12751,GCA_000025945.1,Complete,3.65963,46.6208,chromosome:NC_006138.1/CR522870.1; chromosome large:NC_006139.1/CR522871.1; chromosome small:NC_006140.1/CR522872.1,,3,3051,2004-07-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/025/945/GCA_000025945.1_ASM2594v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/945/GCF_000025945.1_ASM2594v1,x
Syntrophobacter fumaroxidans MPOB,Bacteria;Proteobacteria;delta/epsilon subdivisions,MPOB,SAMN02598285,PRJNA13013,GCA_000014965.1,Complete,4.99025,59.9,chromosome:NC_008554.1/CP000478.1,,1,3923,2006-10-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/965/GCA_000014965.1_ASM1496v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/965/GCF_000014965.1_ASM1496v1,x
Sulfurimonas denitrificans DSM 1251,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 1251,SAMN02598289,PRJNA13019,GCA_000012965.1,Complete,2.20156,34.5,chromosome:NC_007575.1/CP000153.1,,1,2143,2005-11-01T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/965/GCA_000012965.1_ASM1296v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/965/GCF_000012965.1_ASM1296v1,x
Nautilia profundicola AmH,Bacteria;Proteobacteria;delta/epsilon subdivisions,AmH,SAMN02603431,PRJNA32573,GCA_000021725.1,Complete,1.67644,33.5,chromosome:NC_012115.1/CP001279.1,,1,1700,2009-02-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/725/GCA_000021725.1_ASM2172v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/725/GCF_000021725.1_ASM2172v1,x
Pelobacter carbinolicus DSM 2380,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 2380,SAMN02598295,PRJNA13337,GCA_000012885.1,Complete,3.66589,55.1,chromosome:NC_007498.2/CP000142.2,,1,3155,2005-10-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/885/GCA_000012885.1_ASM1288v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/885/GCF_000012885.1_ASM1288v1,x
Pelobacter propionicus DSM 2379,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 2379,SAMN02598297,PRJNA13384,GCA_000015045.1,Complete,4.24112,58.4603,chromosome:NC_008609.1/CP000482.1; plasmid pPRO1:NC_008607.1/CP000483.1; plasmid pPRO2:NC_008608.1/CP000484.1,,3,3795,2006-11-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/045/GCA_000015045.1_ASM1504v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/045/GCF_000015045.1_ASM1504v1,x
Helicobacter mustelae,Bacteria;Proteobacteria;delta/epsilon subdivisions,NCTC12198,SAMEA44549668,PRJEB6403,GCA_900476215.1,Complete,1.57661,42.5,chromosome 1:NZ_LS483446.1/LS483446.1,,1,1373,2018-06-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/476/215/GCA_900476215.1_51342_F02,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/476/215/GCF_900476215.1_51342_F02,x
Stigmatella aurantiaca DW4_3-1,Bacteria;Proteobacteria;delta/epsilon subdivisions,DW4_3-1,SAMN02603592,PRJNA52561,GCA_000165485.1,Complete,10.2608,67.5,chromosome:NC_014623.1/CP002271.1,,1,8015,2010-10-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/165/485/GCA_000165485.1_ASM16548v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/485/GCF_000165485.1_ASM16548v1,x
Desulfovibrio magneticus RS-1,Bacteria;Proteobacteria;delta/epsilon subdivisions,RS-1,SAMD00060954,PRJDA32105,GCA_000010665.1,Complete,5.31562,62.7043,chromosome:NC_012796.1/AP010904.1; plasmid pDMC1:NC_012797.1/AP010905.1; plasmid pDMC2:NC_012795.1/AP010906.1,,3,4555,2009-06-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/665/GCA_000010665.1_ASM1066v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/665/GCF_000010665.1_ASM1066v1,x
Geobacter uraniireducens Rf4,Bacteria;Proteobacteria;delta/epsilon subdivisions,Rf4,SAMN02598352,PRJNA15768,GCA_000016745.1,Complete,5.13636,54.2,chromosome:NC_009483.1/CP000698.1,,1,4398,2007-05-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/745/GCA_000016745.1_ASM1674v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/745/GCF_000016745.1_ASM1674v1,x
Syntrophus aciditrophicus SB,Bacteria;Proteobacteria;delta/epsilon subdivisions,SB,SAMN02603418,PRJNA16258,GCA_000013405.1,Complete,3.1793,51.5,chromosome:NC_007759.1/CP000252.1,,1,2820,2006-01-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/405/GCA_000013405.1_ASM1340v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/405/GCF_000013405.1_ASM1340v1,x
Campylobacter concisus,Bacteria;Proteobacteria;delta/epsilon subdivisions,ATCC 33237,SAMN03342362,PRJNA275352,GCA_001298465.1,Complete,1.84004,37.6,chromosome:NZ_CP012541.1/CP012541.1,,1,1782,2015-09-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/298/465/GCA_001298465.1_ASM129846v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/298/465/GCF_001298465.1_ASM129846v1,x
Campylobacter curvus 525.92,Bacteria;Proteobacteria;delta/epsilon subdivisions,525.92,SAMN02604055,PRJNA17161,GCA_000017465.2,Complete,1.97127,44.5,chromosome:NC_009715.2/CP000767.2,,1,1903,2007-07-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/465/GCA_000017465.2_ASM1746v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/465/GCF_000017465.2_ASM1746v2,x
Helicobacter acinonychis str. Sheeba,Bacteria;Proteobacteria;delta/epsilon subdivisions,Sheeba,SAMEA3138199,PRJNA17251,GCA_000009305.1,Complete,1.55759,38.1915,chromosome:NC_008229.1/AM260522.1; plasmid pHac1:NC_008230.1/AM260523.1,,2,1362,2006-06-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/305/GCA_000009305.1_ASM930v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/305/GCF_000009305.1_ASM930v1,x
Geobacter lovleyi SZ,Bacteria;Proteobacteria;delta/epsilon subdivisions,SZ,SAMN00623044,PRJNA17423,GCA_000020385.1,Complete,3.99487,54.7653,chromosome:NC_010814.1/CP001089.1; plasmid pGLOV01:NC_010815.1/CP001090.1,,2,3652,2008-06-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/385/GCA_000020385.1_ASM2038v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/385/GCF_000020385.1_ASM2038v1,x
Geobacter bemidjiensis Bem,Bacteria;Proteobacteria;delta/epsilon subdivisions,Bem,SAMN02598400,PRJNA17707,GCA_000020725.1,Complete,4.61515,60.3,chromosome:NC_011146.1/CP001124.1,,1,3976,2008-08-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/725/GCA_000020725.1_ASM2072v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/725/GCF_000020725.1_ASM2072v1,x
Desulfococcus oleovorans Hxd3,Bacteria;Proteobacteria;delta/epsilon subdivisions,Hxd3,SAMN00623035,PRJNA18007,GCA_000018405.1,Complete,3.94417,56.2,chromosome:NC_009943.1/CP000859.1,,1,3301,2007-10-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/405/GCA_000018405.1_ASM1840v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/405/GCF_000018405.1_ASM1840v1,x
Campylobacter hominis ATCC BAA-381,Bacteria;Proteobacteria;delta/epsilon subdivisions,ATCC BAA-381,SAMN02603439,PRJNA20083,GCA_000017585.1,Complete,1.71495,31.7051,chromosome:NC_009714.1/CP000776.1; plasmid pCH4:NC_009713.1/CP000775.1,,2,1552,2007-07-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/585/GCA_000017585.1_ASM1758v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/585/GCF_000017585.1_ASM1758v1,x
Desulfobacterium autotrophicum HRM2,Bacteria;Proteobacteria;delta/epsilon subdivisions,HRM2,SAMN02603282,PRJNA20931,GCA_000020365.1,Complete,5.65778,48.7174,chromosome:NC_012108.1/CP001087.1; plasmid pHRM2a:NC_012109.1/CP001088.1,,2,4692,2009-02-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/365/GCA_000020365.1_ASM2036v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/365/GCF_000020365.1_ASM2036v1,x
Arcobacter butzleri RM4018,Bacteria;Proteobacteria;delta/epsilon subdivisions,RM4018,SAMN02604276,PRJNA16319,GCA_000014025.1,Complete,2.34125,27,chromosome:NC_009850.1/CP000361.1,,1,2251,2007-09-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/025/GCA_000014025.1_ASM1402v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/014/025/GCF_000014025.1_ASM1402v1,x
Sorangium cellulosum So ce56,Bacteria;Proteobacteria;delta/epsilon subdivisions,So ce 56,SAMEA3138271,PRJNA28111,GCA_000067165.1,Complete,13.0338,71.4,chromosome:NC_010162.1/AM746676.1,,1,9274,2007-11-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/067/165/GCA_000067165.1_ASM6716v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/067/165/GCF_000067165.1_ASM6716v1,x
Desulfovibrio salexigens DSM 2638,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 2638,SAMN00001870,PRJNA29541,GCA_000023445.1,Complete,4.28985,47.1,chromosome:NC_012881.1/CP001649.1,,1,3781,2009-06-26T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/445/GCA_000023445.1_ASM2344v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/445/GCF_000023445.1_ASM2344v1,x
Sulfurimonas autotrophica DSM 16294,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 16294,SAMN00713560,PRJNA31347,GCA_000147355.1,Complete,2.1532,35.2,chromosome:NC_014506.1/CP002205.1,,1,2159,2010-09-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/147/355/GCA_000147355.1_ASM14735v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/147/355/GCF_000147355.1_ASM14735v1,x
Arcobacter nitrofigilis DSM 7299,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 7299,SAMN02598489,PRJNA32593,GCA_000092245.1,Complete,3.19224,28.4,chromosome:NC_014166.1/CP001999.1,,1,3072,2010-05-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/245/GCA_000092245.1_ASM9224v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/245/GCF_000092245.1_ASM9224v1,x
Desulfurivibrio alkaliphilus AHT 2,Bacteria;Proteobacteria;delta/epsilon subdivisions,AHT 2,SAMN02598502,PRJNA33629,GCA_000092205.1,Complete,3.09776,60.3,chromosome:NC_014216.1/CP001940.1,,1,2638,2010-05-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/205/GCA_000092205.1_ASM9220v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/205/GCF_000092205.1_ASM9220v1,x
Helicobacter cinaedi CCUG 18818 = ATCC BAA-847,Bacteria;Proteobacteria;delta/epsilon subdivisions,ATCC BAA-847,SAMD00061010,PRJDB113,GCA_000349975.1,Complete,2.24013,38.3,chromosome 1:NC_020555.1/AP012492.1,,1,2237,2012-07-18T23:03:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/349/975/GCA_000349975.1_ASM34997v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/349/975/GCF_000349975.1_ASM34997v1,x
Campylobacter gracilis,Bacteria;Proteobacteria;delta/epsilon subdivisions,ATCC 33236,SAMN03862076,PRJNA290037,GCA_001190745.1,Complete,2.28165,46.6,chromosome:NZ_CP012196.1/CP012196.1,,1,2106,2015-08-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/190/745/GCA_001190745.1_ASM119074v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/190/745/GCF_001190745.1_ASM119074v1,x
Helicobacter bilis,Bacteria;Proteobacteria;delta/epsilon subdivisions,AAQJH,SAMN03485893,PRJNA281203,GCA_001999985.1,Complete,2.6204,34.8,chromosome:NZ_CP019645.1/CP019645.1,,1,2147,2017-02-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/999/985/GCA_001999985.1_ASM199998v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/999/985/GCF_001999985.1_ASM199998v1,x
Desulfovibrio desulfuricans ND132,Bacteria;Proteobacteria;delta/epsilon subdivisions,ND132,SAMN02232015,PRJNA37769,GCA_000189295.2,Complete,3.85858,65.2,chromosome:NC_016803.1/CP003220.1,,1,3409,2011-12-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/189/295/GCA_000189295.2_ASM18929v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/295/GCF_000189295.2_ASM18929v2,x
Desulfarculus baarsii DSM 2075,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 2075,SAMN02598521,PRJNA37955,GCA_000143965.1,Complete,3.65573,65.7,chromosome:NC_014365.1/CP002085.1,,1,3247,2010-07-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/143/965/GCA_000143965.1_ASM14396v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/143/965/GCF_000143965.1_ASM14396v1,x
Pseudodesulfovibrio aespoeensis Aspo-2,Bacteria;Proteobacteria;delta/epsilon subdivisions,Aspo-2,SAMN00713573,PRJNA37869,GCA_000176915.2,Complete,3.62911,62.6,chromosome:NC_014844.1/CP002431.1,,1,3275,2011-01-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/176/915/GCA_000176915.2_ASM17691v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/176/915/GCF_000176915.2_ASM17691v2,x
Desulfomonile tiedjei DSM 6799,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 6799,SAMN02232013,PRJNA43133,GCA_000266945.1,Complete,6.52703,50.1107,chromosome:NC_018025.1/CP003360.1; plasmid pDESTI.01:NC_018026.1/CP003361.1,,2,5298,2012-06-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/266/945/GCA_000266945.1_ASM26694v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/266/945/GCF_000266945.1_ASM26694v1,x
Sulfuricurvum kujiense DSM 16994,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 16994,SAMN00713566,PRJNA43399,GCA_000183725.1,Complete,2.81936,44.5704,chromosome:NC_014762.1/CP002355.1; plasmid pSULKU01:NC_014754.1/CP002356.1; plasmid pSULKU02:NC_014755.1/CP002357.1; plasmid pSULKU03:NC_014756.1/CP002358.1; plasmid pSULKU04:NC_014763.1/CP002359.1,,5,2780,2010-12-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/725/GCA_000183725.1_ASM18372v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/725/GCF_000183725.1_ASM18372v1,x
Nitratifractor salsuginis DSM 16511,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 16511,SAMN00713578,PRJNA46883,GCA_000186245.1,Complete,2.10128,53.9,chromosome:NC_014935.1/CP002452.1,,1,2096,2011-01-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/245/GCA_000186245.1_ASM18624v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/245/GCF_000186245.1_ASM18624v1,x
Hippea maritima DSM 10411,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 10411,SAMN00713597,PRJNA48195,GCA_000194135.1,Complete,1.69443,37.5,chromosome:NC_015318.1/CP002606.1,,1,1694,2011-03-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/194/135/GCA_000194135.1_ASM19413v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/194/135/GCF_000194135.1_ASM19413v1,x
Desulfocurvibacter africanus subsp. africanus str. Walvis Bay,Bacteria;Proteobacteria;delta/epsilon subdivisions,Walvis Bay,SAMN00713616,PRJNA52831,GCA_000212675.2,Complete,4.20053,61.4,chromosome:NC_016629.1/CP003221.1,,1,3735,2012-01-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/212/675/GCA_000212675.2_ASM21267v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/212/675/GCF_000212675.2_ASM21267v2,x
Desulfobacca acetoxidans DSM 11109,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 11109,SAMN00713603,PRJNA51777,GCA_000195295.1,Complete,3.28254,52.9,chromosome:NC_015388.1/CP002629.1,,1,2878,2011-04-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/295/GCA_000195295.1_ASM19529v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/295/GCF_000195295.1_ASM19529v1,x
Desulfobacter postgatei 2ac9,Bacteria;Proteobacteria;delta/epsilon subdivisions,2ac9,SAMN02261381,PRJNA59797,GCA_000233695.3, Chromosome,3.97466,47.2,chromosome:NZ_CM001488.1/CM001488.1,AGJR02,1,3353,2011-11-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/233/695/GCA_000233695.3_ASM23369v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/233/695/GCF_000233695.2_ASM23369v3,x
Haliangium ochraceum DSM 14365,Bacteria;Proteobacteria;delta/epsilon subdivisions,DSM 14365,SAMN00002596,PRJNA28711,GCA_000024805.1,Complete,9.44631,69.5,chromosome:NC_013440.1/CP001804.1,,1,6592,2009-10-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/805/GCA_000024805.1_ASM2480v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/805/GCF_000024805.1_ASM2480v1,x
